title,year,imdb_votes,location,geocode
Barefoot in the Park,1967,11546,"111 Waverly Place, Greenwich Village, Manhattan, New York City, New York, USA",
Barefoot in the Park,1967,11546,"6th Avenue, Manhattan, New York City, New York, USA",
Barefoot in the Park,1967,11546,"Fifth Avenue, Manhattan, New York City, New York, USA",
Barefoot in the Park,1967,11546,"Greenwich Village, Manhattan, New York City, New York, USA",
Barefoot in the Park,1967,11546,"Manhattan, New York City, New York, USA",
Barefoot in the Park,1967,11546,"New York City, New York, USA",
Barefoot in the Park,1967,11546,"Plaza Hotel - 750 Fifth Avenue, Manhattan, New York City, New York, USA",
Barefoot in the Park,1967,11546,"Washington Square Park, Greenwich Village, Manhattan, New York City, New York, USA",
Barefoot in the Park,1967,11546,"West 10th Street, Manhattan, New York City, New York, USA",
Simply Irresistible,1999,11717,"Henri Bendel Department Store - 712 Fifth Avenue, Manhattan, New York City, New York, USA",
Simply Irresistible,1999,11717,"New York City, New York, USA",
The Mirror Has Two Faces,1996,11855,"505 West End Avenue, Manhattan, New York City, New York, USA",
The Mirror Has Two Faces,1996,11855,"Columbia University - Broadway & 116th Street, Manhattan, New York City, New York, USA",
The Mirror Has Two Faces,1996,11855,"JFK International Airport, Jamaica, Queens, New York City, New York, USA",
Pillow Talk,1959,11944,"Central Park, Manhattan, New York City, New York, USA",
Pillow Talk,1959,11944,"Manhattan, New York City, New York, USA",
Pillow Talk,1959,11944,"New York City, New York, USA",
The Panic in Needle Park,1971,12224,"New York City, New York, USA",
Tiny Furniture,2010,12316,"DUMBO, Brooklyn, New York City, New York, USA",
Tiny Furniture,2010,12316,"Vinegar Hill, Brooklyn, New York City, New York, USA",
Tiny Furniture,2010,12316,"16 Desbrosses St, Tribeca, Manhattan, New York City, New York, USA",
2 Days in New York,2012,12371,"Belvedere Castle, Central Park, Manhattan, New York City, New York, USA",
2 Days in New York,2012,12371,"Lexington Avenue & E 51st St, New York City, New York, USA",
2 Days in New York,2012,12371,"Manhattan, New York City, New York, USA",
2 Days in New York,2012,12371,"New York City, New York, USA",
Shaft,1971,12661,"55 Jane Street, New York City, New York, USA",
Shaft,1971,12661,"621 Hudson Street, New York City, New York, USA",
Shaft,1971,12661,"Cafe Reggio, MacDougal Street, Manhattan, New York City, New York, USA",
Shaft,1971,12661,"Harlem, Manhattan, New York City, New York, USA",
Shaft,1971,12661,"New York City, New York, USA",
Shaft,1971,12661,"Times Square, Manhattan, New York City, New York, USA",
Party Monster,2003,13005,"Chateau Marmont, Manhattan, New York City, New York, USA",
Party Monster,2003,13005,"Grand Central Station, Manhattan, New York City, New York, USA",
Party Monster,2003,13005,"Kew Gardens, Queens, New York City, New York, USA",
Party Monster,2003,13005,"Manhattan, New York City, New York, USA",
200 Cigarettes,1999,13281,"New York City, New York, USA",
Solitary Man,2009,13766,"City Island, Bronx, New York City, New York, USA",
Solitary Man,2009,13766,"Fordham University - 441 E. Fordham Road. Rose Hill, Bronx, New York City, New York, USA",
Solitary Man,2009,13766,"New York City, New York, USA",
Solitary Man,2009,13766,"W 85th St & Broadway, New York City, New York, USA",
Jungle Fever,1991,13914,"Bensonhurst, Brooklyn, New York City, New York, USA",
Jungle Fever,1991,13914,"Brooklyn, New York City, New York, USA",
Jungle Fever,1991,13914,"Harlem, Manhattan, New York City, New York, USA",
Jungle Fever,1991,13914,"Manhattan, New York City, New York, USA",
Jungle Fever,1991,13914,"New York City, New York, USA",
Jungle Fever,1991,13914,"South Central Brooklyn, Brooklyn, New York City, New York, USA",
Jungle Fever,1991,13914,"Striver's Row, Harlem, Manhattan, New York City, New York, USA",
Jungle Fever,1991,13914,"Sylvia's Restaurant - 326 Lenox Avenue, Harlem, Manhattan, New York City, New York, USA",
Jungle Fever,1991,13914,"West 138th Street, Harlem, Manhattan, New York City, New York, USA",
Jungle Fever,1991,13914,"West 139th Street, Harlem, Manhattan, New York City, New York, USA",
Tracers,2015,14624,"New York City, New York, USA",
Flawless,1999,15054,"211 Avenue A, Manhattan, New York City, New York, USA",
Flawless,1999,15054,"Bronx, New York City, New York, USA",
Flawless,1999,15054,"Brooklyn, New York City, New York, USA",
Flawless,1999,15054,"Hell's Kitchen, Manhattan, New York City, New York, USA",
Flawless,1999,15054,"New York City, New York, USA",
Roger Dodger,2002,15572,"New York City, New York, USA",
Killer's Kiss,1955,16388,"3156 Perry Avenue, Bronx, New York City, New York, USA",
Killer's Kiss,1955,16388,"Dumbo, Brooklyn, New York City, New York, USA",
Killer's Kiss,1955,16388,"New York City, New York, USA",
Killer's Kiss,1955,16388,"Pennsylvania Station - 7th Avenue & 32nd Street, Manhattan, New York City, New York, USA",
Killer's Kiss,1955,16388,"Times Square, Manhattan, New York City, New York, USA",
Klute,1971,16459,"Filmways Studios - 246 East 127th Street, East Harlem, Manhattan, New York City, New York, USA",
Klute,1971,16459,"New York City, New York, USA",
Fame,1980,16959,"Church of Saint Mary the Virgin 145 West 46th Street, Manhattan, New York City, New York, USA",
Fame,1980,16959,"Haaren High School, 10th Avenue 59th Street, Manhattan, New York City, New York, USA",
Fame,1980,16959,"Holy Cross Church 329 West 42nd Street Manhattan, New York City, New York, USA",
Fame,1980,16959,"Manhattan, New York City, New York, USA",
Fame,1980,16959,"New York City, New York, USA",
Fame,1980,16959,"P.S 122 at 150 1st Avenue at East 9th Street, East Village Manhattan, New York City, New York, USA",
Fame,1980,16959,"RKO Twin Theatre, Times Square, Manhattan, New York City, New York, USA",
Fame,1980,16959,"Times Square, Manhattan, New York City, New York, USA",
State of Grace,1990,17127,"Little Italy, Manhattan, New York City, New York, USA",
State of Grace,1990,17127,"Manhattan, New York City, New York, USA",
State of Grace,1990,17127,"Mare Chiaro bar ""Toni's nut house"", 179 Mulberry street, Little Italy, Manhattan, New York City, New York, USA",
State of Grace,1990,17127,"New York City, New York, USA",
State of Grace,1990,17127,"Old Town Bar - 45 East 18th Street, Manhattan, New York City, New York, USA",
Juice,1992,17677,"Saint Nicholas Terrace & 135th. Street, Harlem, New York City, New York, USA",
Juice,1992,17677,"Convent Avenue & West 129th. Street, Harlem, New York City, New York, USA",
Juice,1992,17677,"416 W. 129th. Street, Harlem, New York City, New York, USA",
Juice,1992,17677,"A. Philip Randolph High School, 443 W. 135th. Street, Harlem, New York City, New York, USA",
Juice,1992,17677,"21 Convent Avenue, Harlem, New York City, New York, USA",
Juice,1992,17677,"New York City, New York, USA",
Vampire in Brooklyn,1995,17905,"Brooklyn, New York City, New York, USA",
Green Card,1990,19145,"American Irish Historical Society, 991 Fifth Avenue, New York City, New York, USA",
Green Card,1990,19145,"New York City, New York, USA",
Little Manhattan,2005,19351,"Manhattan, New York City, New York, USA",
All That Jazz,1979,20302,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",
All That Jazz,1979,20302,"Manhattan, New York City, New York, USA",
All That Jazz,1979,20302,"New York City, New York, USA",
All That Jazz,1979,20302,"Palace Theater - 1564 Broadway, Manhattan, New York City, New York, USA",
Fading Gigolo,2013,20372,"New York City, New York, USA",
Fading Gigolo,2013,20372,"Park Avenue, Manhattan, New York City, New York, USA",
Fading Gigolo,2013,20372,"Prospect Park, Brooklyn, New York City, New York, USA",
Fading Gigolo,2013,20372,"Carousel, Prospect Park, Brooklyn, New York City, New York, USA",
Someone Like You...,2001,20410,"New York City, New York, USA",
The Taking of Pelham One Two Three,1974,20642,"Gracie Mansion, Manhattan, New York City, New York, USA",
The Taking of Pelham One Two Three,1974,20642,"Federal Reserve Bank - 33 Liberty Street, Financial District, Manhattan, New York City, New York, USA",
The Taking of Pelham One Two Three,1974,20642,"Brooklyn, New York City, New York, USA",
The Taking of Pelham One Two Three,1974,20642,"Filmways Studios - 246 East 127th Street, East Harlem, Manhattan, New York City, New York, USA",
The Taking of Pelham One Two Three,1974,20642,"New York City, New York, USA",
Autumn in New York,2000,20928,"Central Park, Manhattan, New York City, New York, USA",
Autumn in New York,2000,20928,"Manhattan, New York City, New York, USA",
Autumn in New York,2000,20928,"New York City, New York, USA",
Autumn in New York,2000,20928,"Rockefeller Plaza, Manhattan, New York City, New York, USA",
Autumn in New York,2000,20928,"Wollman Skating Rink - 830 5th Ave., New York City, New York, USA",
Husbands and Wives,1992,22425,"4651 Fieldston Road, Riverdale, Bronx, New York City, New York, USA",
Husbands and Wives,1992,22425,"68th Street Playhouse - 1164 3rd Avenue, New York City, New York, USA",
Husbands and Wives,1992,22425,"Barnard College, Columbia University - Broadway & 116th Street, Manhattan, New York City, New York, USA",
Husbands and Wives,1992,22425,"Columbia University - Broadway & 116th Street, Manhattan, New York City, New York, USA",
Husbands and Wives,1992,22425,"Dean & Deluca Cafe - 121 Prince Street, Soho, Manhattan, New York City, New York, USA",
Husbands and Wives,1992,22425,"Soho, Manhattan, New York City, New York, USA",
