title,year,imdb_votes,location,geocode
Do the Right Thing,1989,62655,"Stuyvesant Street, Bedford-Stuyvesant, Brooklyn, New York City, New York, USA",
Do the Right Thing,1989,62655,"Stuyvesant Street, Brooklyn, New York City, New York, USA",
Delivery Man,2013,62881,"Schiller's Liquor Bar, 131 Rivington Street, New York City, New York, USA",
Delivery Man,2013,62881,"Brooklyn, New York City, New York, USA",
Money Monster,2016,64580,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",
Money Monster,2016,64580,"Manhattan, New York City, New York, USA",
Money Monster,2016,64580,"59 Maiden Lane, New York City, New York, USA",
Awake,2007,64820,"18 East 68th Street, New York City, New York, USA",
Awake,2007,64820,"Bellevue Hospital - 550 First Avenue, Manhattan, New York City, New York, USA",
Awake,2007,64820,"Fordham University, Lincoln Center for the Performing Arts - Columbus Avenue & 61st Street, Manhattan, New York City, New York, USA",
Awake,2007,64820,"Harlem, Manhattan, New York City, New York, USA",
Awake,2007,64820,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",
Awake,2007,64820,"New York City, New York, USA",
New Year's Eve,2011,69478,"Statue of Liberty, Liberty Island, New York Harbor, New York City, New York, USA",
New Year's Eve,2011,69478,"Brooklyn Bridge, New York City, New York, USA",
New Year's Eve,2011,69478,"Alice Tully Hall, 1941 Broadway, Lincoln Center, Lincoln Center, Manhattan, New York City, New York, USA",
New Year's Eve,2011,69478,"Radio City Music Hall - 1260 6th Avenue, Rockefeller Center, Manhattan, New York City, New York, USA",
New Year's Eve,2011,69478,"Queens Museum of Art, Flushing Meadows, Corona Park, Queens, New York City, New York, USA",
New Year's Eve,2011,69478,"Brooklyn Museum - 200 Eastern Parkway, Brooklyn, New York City, New York, USA",
New Year's Eve,2011,69478,"Silvercup Studios - 4222 22nd Street, Long Island City, Queens, New York City, New York, USA",
New Year's Eve,2011,69478,"New York City, New York, USA",
We Own the Night,2007,74249,"Coney Island, Brooklyn, New York City, New York, USA",
We Own the Night,2007,74249,"Jackson Heights, Queens, New York City, New York, USA",
We Own the Night,2007,74249,"Katz's Delicatessen - 205 East Houston Street, East Village, Manhattan, New York City, New York, USA",
We Own the Night,2007,74249,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",
We Own the Night,2007,74249,"New York City, New York, USA",
We Own the Night,2007,74249,"Paradise Movie Theatre - 2403 Grand Concourse, Bronx, New York City, New York, USA",
We Own the Night,2007,74249,"Sheepshead Bay, Brooklyn, New York City, New York, USA",
We Own the Night,2007,74249,"Washington Cemetery, Brooklyn, New York City, New York, USA",
Cop Out,2010,76889,"Colonial Rd & 81st St, Brooklyn, New York City, New York, USA",
Cop Out,2010,76889,"Greenpoint, Brooklyn, New York City, New York, USA",
Cop Out,2010,76889,"McGuinness Blvd & Greenpoint Ave, Brooklyn, New York City, New York, USA",
Cop Out,2010,76889,"Metropolitan Ave. and Grandview Ave., Ridgewood, Queens, New York City, New York, USA",
Cop Out,2010,76889,"Myrtle Ave. and Cypress Ave., Ridgewood, Queens, New York City, New York, USA",
Cop Out,2010,76889,"New York City, New York, USA",
Cop Out,2010,76889,"Wythe Ave & S 8th St, Brooklyn, New York City, New York, USA",
That Awkward Moment,2014,80924,"Manhattan, New York City, New York, USA",
That Awkward Moment,2014,80924,"Brooklyn, New York City, New York, USA",
Kramer vs. Kramer,1979,102550,"Central Park, Manhattan, New York City, New York, USA",
Kramer vs. Kramer,1979,102550,"Chrysler Building - 405 Lexington Avenue, Manhattan, New York City, New York, USA",
Kramer vs. Kramer,1979,102550,"Federal Hall, Wall Street, Manhattan, New York City, New York, USA",
Kramer vs. Kramer,1979,102550,"Financial District, Manhattan, New York City, New York, USA",
Kramer vs. Kramer,1979,102550,"Manhattan, New York City, New York, USA",
Kramer vs. Kramer,1979,102550,"New York City, New York, USA",
Kramer vs. Kramer,1979,102550,"Tweed Courthouse - 52 Chambers Street, Manhattan, New York City, New York, USA",
Kramer vs. Kramer,1979,102550,"Wall Street, Manhattan, New York City, New York, USA",
Trainwreck,2015,103879,"Madison Square Garden, New York City, New York, USA",
Trainwreck,2015,103879,"601 West 26th Street, 15th Floor, New York City, New York, USA",
Trainwreck,2015,103879,"Alice's Tea Cup, Chapter 2, 64th & Lexington, New York City, New York, USA",
Trainwreck,2015,103879,"Plattduetsche Home - 1150 Hempstead Turnpike, Franklin Square, New York City, New York, USA",
Trainwreck,2015,103879,"Bryant Park, Manhattan, New York City, New York, USA",
It's Kind of a Funny Story,2010,112166,"Brooklyn, New York City, New York, USA",
Wall Street,1987,123025,"The St. James's tower, 415 East 54th Street, Manhattan, New York City, New York, USA",
Wall Street,1987,123025,"60 W. 75th St, New York City, New York, USA",
Wall Street,1987,123025,"21 Club - 21 West 52nd Street, Manhattan, New York City, New York, USA",
Wall Street,1987,123025,"222 Broadway, Manhattan, New York City, New York, USA",
Wall Street,1987,123025,"Central Park, Manhattan, New York City, New York, USA",
Wall Street,1987,123025,"Manhattan, New York City, New York, USA",
Wall Street,1987,123025,"New York City, New York, USA",
Wall Street,1987,123025,"PJ Moran's Pub and Restaurant, 3 East 48th Street, Manhattan, New York City, New York, USA",
Wall Street,1987,123025,"Tavern on the Green - Central Park at W. 67th Street, Central Park, Manhattan, New York City, New York, USA",
Breakfast at Tiffany's,1961,130021,"167 East 71st Street, Manhattan, New York City, New York, USA",
Breakfast at Tiffany's,1961,130021,"5th Avenue, Manhattan, New York City, New York, USA",
Breakfast at Tiffany's,1961,130021,"71st Street between Lexington & 3rd, Manhattan, New York City, New York, USA",
Breakfast at Tiffany's,1961,130021,"Central Park, Manhattan, New York City, New York, USA",
Breakfast at Tiffany's,1961,130021,"Manhattan, New York City, New York, USA",
Breakfast at Tiffany's,1961,130021,"New York City, New York, USA",
Breakfast at Tiffany's,1961,130021,"Tiffany & Co. - 727 Fifth Avenue at 57th Street, Manhattan, New York City, New York, USA",
"Definitely, Maybe",2008,132043,"New York City, New York, USA",
Pi,1998,147017,"Brooklyn, New York City, New York, USA",
Pi,1998,147017,"Chinatown, Manhattan, New York City, New York, USA",
Pi,1998,147017,"Coney Island, Brooklyn, New York City, New York, USA",
Pi,1998,147017,"Lower East Side, Manhattan, New York City, New York, USA",
Enchanted,2007,148701,"875 Third Avenue, New York City, New York, USA",
Shame,2011,153101,"The Standard, High Line - 848 Washington Street, New York City, New York, USA",
Non-Stop,2014,209903,"New York City, New York, USA",
Inside Man,2006,282977,"The Four Seasons - 99 East 52nd Street, Manhattan, New York City, New York, USA",
Requiem for a Dream,2000,605126,"Coney Island, Brooklyn, New York City, New York, USA",
